Job Date,Waste Desc,Bin Qty,Tonnage
01/03/2019,Dry Mixed Recyclate,3,0.12
01/03/2019,General Waste,8,0.59
02/03/2019,Dry Mixed Recyclate,3,0.124
02/03/2019,General Waste,8,0.505
04/03/2019,Dry Mixed Recyclate,3,0.113
04/03/2019,General Waste,8,1.008
04/03/2019,Kitchen/Canteen Wast,4,0.09
04/03/2019,Glass,1,0.01
05/03/2019,Dry Mixed Recyclate,3,0.07
05/03/2019,General Waste,8,0.22
06/03/2019,Dry Mixed Recyclate,3,0.104
06/03/2019,General Waste,8,0.634
07/03/2019,Dry Mixed Recyclate,3,0.098
07/03/2019,General Waste,3,0.119
07/03/2019,General Waste,8,0.433
08/03/2019,Dry Mixed Recyclate,3,0.065
08/03/2019,General Waste,8,0.18
08/03/2019,General Waste,3,0.09
09/03/2019,Dry Mixed Recyclate,3,0.112
09/03/2019,General Waste,3,0.162
09/03/2019,General Waste,8,0.399
11/03/2019,Dry Mixed Recyclate,3,0.098
11/03/2019,General Waste,3,0.127
11/03/2019,General Waste,8,0.653
11/03/2019,Kitchen/Canteen Wast,4,0.14
11/03/2019,Glass,1,0.01
12/03/2019,Dry Mixed Recyclate,3,0.21
12/03/2019,General Waste,8,0.554
12/03/2019,General Waste,3,0.08
13/03/2019,Dry Mixed Recyclate,3,0.128
13/03/2019,General Waste,3,0.22
13/03/2019,General Waste,8,0.541
14/03/2019,Dry Mixed Recyclate,3,0.157
14/03/2019,General Waste,3,0.165
14/03/2019,General Waste,8,0.679
15/03/2019,Dry Mixed Recyclate,3,0.12
15/03/2019,General Waste,8,0.3
15/03/2019,General Waste,3,0.2
16/03/2019,Dry Mixed Recyclate,3,0.16
16/03/2019,General Waste,8,0.389
16/03/2019,General Waste,3,0.331
18/03/2019,Dry Mixed Recyclate,3,0.102
18/03/2019,General Waste,3,0.317
18/03/2019,General Waste,8,0.777
18/03/2019,Kitchen/Canteen Wast,4,0.11
18/03/2019,Glass,1,0.01
19/03/2019,Dry Mixed Recyclate,3,0.08
19/03/2019,General Waste,3,0.1
19/03/2019,General Waste,8,0.69
20/03/2019,Dry Mixed Recyclate,3,0.086
20/03/2019,General Waste,3,0.129
20/03/2019,General Waste,8,0.578
21/03/2019,Dry Mixed Recyclate,3,0.079
21/03/2019,General Waste,3,0.172
21/03/2019,General Waste,8,0.623
22/03/2019,Dry Mixed Recyclate,3,0.06
22/03/2019,General Waste,8,0.272
22/03/2019,General Waste,3,0.105
23/03/2019,Dry Mixed Recyclate,3,0.146
23/03/2019,General Waste,3,0.139
23/03/2019,General Waste,8,0.59
25/03/2019,Dry Mixed Recyclate,3,0.056
25/03/2019,General Waste,3,0.177
25/03/2019,General Waste,8,0.77
25/03/2019,Kitchen/Canteen Wast,4,0.26
25/03/2019,Glass,1,0.01
26/03/2019,Dry Mixed Recyclate,3,0.27
26/03/2019,General Waste,3,0.32
26/03/2019,General Waste,8,0.59
27/03/2019,Dry Mixed Recyclate,3,0.116
27/03/2019,General Waste,3,0.063
27/03/2019,General Waste,8,0.46
28/03/2019,Dry Mixed Recyclate,3,0.132
28/03/2019,General Waste,3,0.125
28/03/2019,General Waste,8,0.551
29/03/2019,Dry Mixed Recyclate,3,0.1
29/03/2019,General Waste,8,0.3
29/03/2019,General Waste,3,0.09
30/03/2019,Dry Mixed Recyclate,3,0.101
30/03/2019,General Waste,3,0.224
30/03/2019,General Waste,8,0.583
01/04/2019,Dry Mixed Recyclate,3,0.125
01/04/2019,General Waste,3,0.171
01/04/2019,General Waste,8,0.999
01/04/2019,Kitchen/Canteen Wast,4,0.11
01/04/2019,Glass,1,0.01
02/04/2019,Dry Mixed Recyclate,3,0.07
02/04/2019,General Waste,3,0.12
02/04/2019,General Waste,8,0.22
03/04/2019,Dry Mixed Recyclate,3,0.142
03/04/2019,General Waste,3,0.144
03/04/2019,General Waste,8,0.389
04/04/2019,Dry Mixed Recyclate,3,0.121
04/04/2019,General Waste,3,0.074
04/04/2019,General Waste,8,0.521
05/04/2019,Dry Mixed Recyclate,3,0.075
05/04/2019,General Waste,8,0.2
05/04/2019,General Waste,3,0.15
06/04/2019,Dry Mixed Recyclate,3,0.121
06/04/2019,General Waste,3,0.243
06/04/2019,General Waste,8,0.496
08/04/2019,Dry Mixed Recyclate,3,0.119
08/04/2019,General Waste,3,0.217
08/04/2019,General Waste,8,0.897
08/04/2019,Kitchen/Canteen Wast,4,0.16
08/04/2019,Glass,1,0
09/04/2019,Dry Mixed Recyclate,3,0.12
09/04/2019,General Waste,3,0.13
09/04/2019,General Waste,8,0.32
10/04/2019,Dry Mixed Recyclate,3,0.126
10/04/2019,General Waste,3,0.172
10/04/2019,General Waste,8,0.519
11/04/2019,Dry Mixed Recyclate,3,0.121
11/04/2019,General Waste,3,0.244
11/04/2019,General Waste,8,0.809
12/04/2019,Dry Mixed Recyclate,3,0.07
12/04/2019,General Waste,8,0.22
12/04/2019,General Waste,3,0.09
13/04/2019,Dry Mixed Recyclate,3,0.124
13/04/2019,General Waste,3,0.457
13/04/2019,General Waste,8,0.826
15/04/2019,Dry Mixed Recyclate,3,0.087
15/04/2019,General Waste,3,0.124
15/04/2019,General Waste,8,0.828
15/04/2019,Kitchen/Canteen Wast,4,0.2
15/04/2019,Glass,1,0
16/04/2019,Dry Mixed Recyclate,3,0.15
16/04/2019,General Waste,3,0.3
16/04/2019,General Waste,8,0.6
17/04/2019,Dry Mixed Recyclate,3,0.158
17/04/2019,General Waste,3,0.358
17/04/2019,General Waste,8,0.443
18/04/2019,Dry Mixed Recyclate,3,0.12
18/04/2019,General Waste,3,0.38
18/04/2019,General Waste,8,0.484
19/04/2019,Dry Mixed Recyclate,3,0.02
19/04/2019,General Waste,8,0.025
19/04/2019,General Waste,3,0.03
20/04/2019,Dry Mixed Recyclate,3,0.086
20/04/2019,General Waste,3,0.158
20/04/2019,General Waste,8,0.244
22/04/2019,Dry Mixed Recyclate,3,0.088
22/04/2019,General Waste,3,0.198
22/04/2019,General Waste,8,0.999
22/04/2019,Kitchen/Canteen Wast,4,0.12
22/04/2019,Glass,1,0.005
23/04/2019,Dry Mixed Recyclate,3,0.048
23/04/2019,General Waste,3,0.081
23/04/2019,General Waste,8,0.494
24/04/2019,Dry Mixed Recyclate,3,0.114
24/04/2019,General Waste,3,0.127
24/04/2019,General Waste,8,0.576
25/04/2019,Dry Mixed Recyclate,3,0.119
25/04/2019,General Waste,3,0.239
25/04/2019,General Waste,8,0.45
26/04/2019,Dry Mixed Recyclate,3,0
26/04/2019,General Waste,8,0
26/04/2019,General Waste,3,0
27/04/2019,Dry Mixed Recyclate,3,0.121
27/04/2019,General Waste,3,0.156
27/04/2019,General Waste,8,0.677
29/04/2019,Dry Mixed Recyclate,3,0.192
29/04/2019,General Waste,8,1
29/04/2019,General Waste,3,0.135
29/04/2019,Kitchen/Canteen Wast,4,0.16
29/04/2019,Glass,1,0.05
30/04/2019,Dry Mixed Recyclate,3,0.05
30/04/2019,General Waste,3,0.09
30/04/2019,General Waste,8,0.22
01/05/2019,Dry Mixed Recyclate,3,0.087
01/05/2019,General Waste,3,0.436
01/05/2019,General Waste,8,1.077
02/05/2019,Dry Mixed Recyclate,3,0.065
02/05/2019,General Waste,3,0.355
02/05/2019,General Waste,8,0.812
03/05/2019,Dry Mixed Recyclate,3,0.08
03/05/2019,General Waste,8,1.002
03/05/2019,General Waste,3,0.404
04/05/2019,Dry Mixed Recyclate,3,0.109
04/05/2019,General Waste,3,0.163
04/05/2019,General Waste,8,0.582
06/05/2019,Dry Mixed Recyclate,3,0.06
06/05/2019,General Waste,3,0.127
06/05/2019,General Waste,8,1.395
06/05/2019,Kitchen/Canteen Wast,4,0.03
06/05/2019,Glass,1,0.001
07/05/2019,Dry Mixed Recyclate,3,0.02
07/05/2019,General Waste,3,0.09
07/05/2019,General Waste,8,0.06
08/05/2019,Dry Mixed Recyclate,3,0.219
08/05/2019,General Waste,3,0.267
08/05/2019,General Waste,8,0.788
09/05/2019,Dry Mixed Recyclate,3,0.123
09/05/2019,General Waste,3,0.364
09/05/2019,General Waste,8,0.98
10/05/2019,Dry Mixed Recyclate,3,0.05
10/05/2019,General Waste,8,0.45
10/05/2019,General Waste,3,0.11
11/05/2019,Dry Mixed Recyclate,3,0.136
11/05/2019,General Waste,3,0.191
11/05/2019,General Waste,8,0.462
13/05/2019,Dry Mixed Recyclate,3,0.065
13/05/2019,General Waste,8,1.631
13/05/2019,General Waste,3,0.46
13/05/2019,Kitchen/Canteen Wast,4,0.05
13/05/2019,Glass,1,0.01
14/05/2019,Dry Mixed Recyclate,3,0.08
14/05/2019,General Waste,3,0.11
14/05/2019,General Waste,8,0.3
15/05/2019,Dry Mixed Recyclate,3,0.137
15/05/2019,General Waste,3,0.224
15/05/2019,General Waste,8,0.282
16/05/2019,Dry Mixed Recyclate,3,0.092
16/05/2019,General Waste,3,0.378
16/05/2019,General Waste,8,1.018
17/05/2019,Dry Mixed Recyclate,3,0.09
17/05/2019,General Waste,8,0.35
17/05/2019,General Waste,3,0.11
18/05/2019,Dry Mixed Recyclate,3,0.128
18/05/2019,General Waste,3,0.48
18/05/2019,General Waste,8,0.464
20/05/2019,Dry Mixed Recyclate,3,0.06
20/05/2019,General Waste,3,0.175
20/05/2019,General Waste,8,0.633
20/05/2019,Kitchen/Canteen Wast,4,0.09
20/05/2019,Glass,1,0.01
21/05/2019,Dry Mixed Recyclate,3,0.1
21/05/2019,General Waste,3,0.125
21/05/2019,General Waste,8,0.21
22/05/2019,Dry Mixed Recyclate,3,0.105
22/05/2019,General Waste,3,0.188
22/05/2019,General Waste,8,0.512
23/05/2019,Dry Mixed Recyclate,3,0.203
23/05/2019,General Waste,3,0.337
23/05/2019,General Waste,8,0.786
24/05/2019,Dry Mixed Recyclate,3,0.08
24/05/2019,General Waste,8,0.25
24/05/2019,General Waste,3,0.1
25/05/2019,Dry Mixed Recyclate,3,0.099
25/05/2019,General Waste,3,0.23
25/05/2019,General Waste,8,0.653
